staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
0310VOJJGS00003QVS5489BTVT51B5B5-G,Bayern,Kreis Augsburg,9,Kreisklasse,KK Augsburg West,14,21,104,58,SpVgg Westheim,9,fussball.de
0310VPA09S000006VS5489BTVT51B5B5-G,Bayern,Kreis Augsburg,9,Kreisklasse,KK Neuburg · Kreis Augsburg,14,21,95,61,TSG Untermaxfeld,9,fussball.de
0316936ND8000006VS5489BUVSBBVPEU-G,Bayern,Kreis Bamberg/Bayreuth/Kulmb.,9,Kreisklasse,Kreisklasse 1 BA · Kreis Bamberg/Bayreuth/Kulmb.,14,42,168,118,TSV Kelbachgrund-Kleukheim,16,fussball.de
0316936NMC000003VS5489BUVSBBVPEU-G,Bayern,Kreis Bamberg/Bayreuth/Kulmb.,9,Kreisklasse,Kreisklasse 2 BA · Kreis Bamberg/Bayreuth/Kulmb.,14,43,172,123,DJK-SC Mistendorf,15,fussball.de
0316936NRK000000VS5489BUVSBBVPEU-G,Bayern,Kreis Bamberg/Bayreuth/Kulmb.,9,Kreisklasse,Kreisklasse 3 BA · Kreis Bamberg/Bayreuth/Kulmb.,14,44,217,126,(SG1) DJK Stappenbach I/DJK Vorra I,19,fussball.de
0311F7MK80000006VS5489BUVVARDA0V-G,Bayern,Kreis Bamberg/Bayreuth/Kulmb.,9,Kreisklasse,Kreisklasse 4 BT KU · Kreis Bamberg/Bayreuth/Kulmb.,14,41,176,120,SV Fortuna Untersteinach,15,fussball.de
0311F7MKF0000006VS5489BUVVARDA0V-G,Bayern,Kreis Bamberg/Bayreuth/Kulmb.,9,Kreisklasse,Kreisklasse 5 BT KU · Kreis Bamberg/Bayreuth/Kulmb.,14,40,167,115,(SG1) TSV Bindlach I / SV Ramsenthal I,18,fussball.de
0314N7H9QG000005VS5489BTVU7GTVLE-G,Bayern,Kreis Cham/Schwandorf,9,Kreisklasse,Kreisklasse CHA/SAD Nord · Kreis Cham/Schwandorf,14,48,174,134,1. FC Neunburg vorm Wald,19,fussball.de
0314N7H9GS000006VS5489BTVU7GTVLE-G,Bayern,Kreis Cham/Schwandorf,9,Kreisklasse,Kreisklasse CHA/SAD Ost · Kreis Cham/Schwandorf,14,45,146,123,SV Obertrübenbach,16,fussball.de
0314N7HAA8000006VS5489BTVU7GTVLE-G,Bayern,Kreis Cham/Schwandorf,9,Kreisklasse,Kreisklasse CHA/SAD Süd · Kreis Cham/Schwandorf,14,50,173,134,1. SG Regental,19,fussball.de
03124B3SLS000003VS5489BTVT51B5B5-G,Bayern,Kreis Coburg/Kronach/Lichtenf.,9,Kreisklasse,Kreisklasse 1 · Kreis Coburg/Kronach/Lichtenf.,16,56,252,166,(SG 1) TBVfL Neustadt/W 1 / TSSV Fürth a. Berg 1,21,fussball.de
03124B80A4000003VS5489BTVT51B5B5-G,Bayern,Kreis Coburg/Kronach/Lichtenf.,9,Kreisklasse,Kreisklasse 2 · Kreis Coburg/Kronach/Lichtenf.,16,56,263,157,SpVgg Obersdorf,16,fussball.de
03124BA7KK000004VS5489BTVT51B5B5-G,Bayern,Kreis Coburg/Kronach/Lichtenf.,9,Kreisklasse,Kreisklasse 3 · Kreis Coburg/Kronach/Lichtenf.,16,55,255,159,TSV Coburg-Scheuerfeld,16,fussball.de
03124BCLCO000004VS5489BTVT51B5B5-G,Bayern,Kreis Coburg/Kronach/Lichtenf.,9,Kreisklasse,Kreisklasse 4 · Kreis Coburg/Kronach/Lichtenf.,16,57,244,164,(SG 1) TSV Gundelsdorf 1 / SV Reitsch 1,19,fussball.de
0314HDL92O000004VS5489BTVU7GTVLE-G,Bayern,Kreis Donau,9,Kreisklasse,KK Nord 1 · Kreis Donau,14,21,70,58,SpVgg Ederheim,9,fussball.de
0314HDL980000004VS5489BTVU7GTVLE-G,Bayern,Kreis Donau,9,Kreisklasse,KK Nord 2 · Kreis Donau,14,22,83,65,TSV Unterthürheim,9,fussball.de
0314HDL8LS000004VS5489BTVU7GTVLE-G,Bayern,Kreis Donau,9,Kreisklasse,KK West 1 · Kreis Donau,13,18,65,47,SV Waldstetten,9,fussball.de
0314HDL8TG000003VS5489BTVU7GTVLE-G,Bayern,Kreis Donau,9,Kreisklasse,KK West 2 · Kreis Donau,15,32,135,90,SSV Neumünster-Unterschöneberg,15,fussball.de
031550A69C000059VS5489BUVSBBVPEU-G,Bayern,Kreis Donau/Isar,9,Kreisklasse,411 Kreisklasse 1 · Kreis Donau/Isar,14,21,78,57,SC Steinberg/Biberg,9,fussball.de
031550A7O4000050VS5489BUVSBBVPEU-G,Bayern,Kreis Donau/Isar,9,Kreisklasse,412 Kreisklasse 2 · Kreis Donau/Isar,14,22,101,61,ST Scheyern,9,fussball.de
031550A92C00002DVS5489BUVSBBVPEU-G,Bayern,Kreis Donau/Isar,9,Kreisklasse,413 Kreisklasse 3 · Kreis Donau/Isar,14,22,87,61,SV Marzling,10,fussball.de
031550AAJO00001CVS5489BUVSBBVPEU-G,Bayern,Kreis Donau/Isar,9,Kreisklasse,414 Kreisklasse 4 · Kreis Donau/Isar,14,23,74,65,SpVgg Eichenkofen,9,fussball.de
0314BIOJEG000006VS5489BUVSBBVPEU-G,Bayern,Kreis Erlangen/Pegnitzgrund,9,Kreisklasse,Kreisklasse 1 · Kreis Erlangen/Pegnitzgrund,14,28,114,78,Hammerbacher SV,12,fussball.de
0314BIOJPG000003VS5489BUVSBBVPEU-G,Bayern,Kreis Erlangen/Pegnitzgrund,9,Kreisklasse,Kreisklasse 2 · Kreis Erlangen/Pegnitzgrund,14,26,121,76,SV Langensendelbach,12,fussball.de
0314BIOJUS000006VS5489BUVSBBVPEU-G,Bayern,Kreis Erlangen/Pegnitzgrund,9,Kreisklasse,Kreisklasse 3 · Kreis Erlangen/Pegnitzgrund,14,29,114,79,(SG) Bieberbach/Wichsenstein,12,fussball.de
0314BIOK4G000005VS5489BUVSBBVPEU-G,Bayern,Kreis Erlangen/Pegnitzgrund,9,Kreisklasse,Kreisklasse 4 · Kreis Erlangen/Pegnitzgrund,14,24,106,70,SpVgg Sittenbachtal,12,fussball.de
0314CD7204000006VS5489BUVSBBVPEU-G,Bayern,Kreis Hof/Tirschenr./Wunsiedel,9,Kreisklasse,KK  1 HO/TIR/WUN · Kreis Hof/Tirschenr./Wunsiedel,15,54,235,154,FSV Naila,19,fussball.de
0314CD727C000006VS5489BUVSBBVPEU-G,Bayern,Kreis Hof/Tirschenr./Wunsiedel,9,Kreisklasse,KK  2 HO/TIR/WUN · Kreis Hof/Tirschenr./Wunsiedel,14,48,185,130,SpVgg Faßmannsreuth,19,fussball.de
0314CD72D4000005VS5489BUVSBBVPEU-G,Bayern,Kreis Hof/Tirschenr./Wunsiedel,9,Kreisklasse,KK  3 HO/TIR/WUN · Kreis Hof/Tirschenr./Wunsiedel,14,48,259,138,SV Union Selb II,21,fussball.de
0314CD72J0000006VS5489BUVSBBVPEU-G,Bayern,Kreis Hof/Tirschenr./Wunsiedel,9,Kreisklasse,KK 4 HO/TIR/WUN · Kreis Hof/Tirschenr./Wunsiedel,14,48,219,136,(SG1)Friedenfels I/Fuchsmühl I,21,fussball.de
030UHNHC8S00001OVS5489BTVT51B5B5-G,Bayern,Kreis Inn/Salzach,9,Kreisklasse,Kreisklasse 1 · Kreis Inn/Salzach,14,24,69,66,ASV Kiefersfelden,10,fussball.de
030UHNHE8C00001QVS5489BTVT51B5B5-G,Bayern,Kreis Inn/Salzach,9,Kreisklasse,Kreisklasse 2 · Kreis Inn/Salzach,14,21,77,58,VfL Waldkraiburg,12,fussball.de
030UHNHFJ400003DVS5489BTVT51B5B5-G,Bayern,Kreis Inn/Salzach,9,Kreisklasse,Kreisklasse 3 · Kreis Inn/Salzach,14,24,75,65,SpVgg Pittenhart,9,fussball.de
030UHNHH4S000000VS5489BTVT51B5B5-G,Bayern,Kreis Inn/Salzach,9,Kreisklasse,Kreisklasse 4 · Kreis Inn/Salzach,14,21,80,60,TSV Petting,9,fussball.de
0319TBPBTC000004VS5489BTVSK8S3O6-G,Bayern,Kreis München,9,Kreisklasse,111 Kreisklasse 1 · Kreis München,14,14,53,38,FC Tandern,6,fussball.de
031A5M08I4000004VS5489BUVV628VP4-G,Bayern,Kreis München,9,Kreisklasse,112 Kreisklasse 2 · Kreis München,14,11,55,31,TSV Milbertshofen,6,fussball.de
031A5MGKBC000004VS5489BUVV628VP4-G,Bayern,Kreis München,9,Kreisklasse,113 Kreisklasse 3 · Kreis München,14,12,47,36,TSG Pasing,6,fussball.de
031A5NLDS0000004VS5489BUVV628VP4-G,Bayern,Kreis München,9,Kreisklasse,114 Kreisklasse 4 · Kreis München,14,13,65,38,SC München,6,fussball.de
031A5OD0N8000004VS5489BUVV628VP4-G,Bayern,Kreis München,9,Kreisklasse,115 Kreisklasse 5 · Kreis München,13,8,38,22,ESV München-Ost,6,fussball.de
031A5ORU68000004VS5489BUVV628VP4-G,Bayern,Kreis München,9,Kreisklasse,116 Kreisklasse 6 · Kreis München,14,10,39,27,SV Hohenlinden,6,fussball.de
0313RDHACS000005VS5489BUVSBBVPEU-G,Bayern,Kreis Neumarkt/Jura,9,Kreisklasse,Kreisklasse Nord · Kreis Neumarkt/Jura,14,28,96,79,TV Eckersmühlen,12,fussball.de
0313RDHAJ8000006VS5489BUVSBBVPEU-G,Bayern,Kreis Neumarkt/Jura,9,Kreisklasse,Kreisklasse Ost · Kreis Neumarkt/Jura,14,25,90,67,FC Sindlbach,12,fussball.de
0313RDHAOC000007VS5489BUVSBBVPEU-G,Bayern,Kreis Neumarkt/Jura,9,Kreisklasse,Kreisklasse Süd · Kreis Neumarkt/Jura,14,25,70,68,TSV Freystadt,10,fussball.de
0313RDHATK000007VS5489BUVSBBVPEU-G,Bayern,Kreis Neumarkt/Jura,9,Kreisklasse,Kreisklasse West · Kreis Neumarkt/Jura,14,25,98,72,(SG) Gunzenhausen/Unterwurmbach,10,fussball.de
0314CNBVIG000007VS5489BTVU7GTVLE-G,Bayern,Kreis Niederbayern Ost,9,Kreisklasse,KK 4 Straubing · Kreis Niederbayern Ost,14,42,171,120,DJK SB Straubing,16,fussball.de
0314CNBVOS000009VS5489BTVU7GTVLE-G,Bayern,Kreis Niederbayern Ost,9,Kreisklasse,KK 5 Deggendorf · Kreis Niederbayern Ost,14,42,187,117,FC Wallersdorf,15,fussball.de
03152PU6VS000008VS5489BUVSBBVPEU-G,Bayern,Kreis Niederbayern Ost,9,Kreisklasse,KK 6 Freyung/Regen · Kreis Niederbayern Ost,14,42,168,116,DJK SG Schönbrunn,13,fussball.de
0314CNHLUK000007VS5489BTVU7GTVLE-G,Bayern,Kreis Niederbayern Ost,9,Kreisklasse,KK 7 Passau · Kreis Niederbayern Ost,14,43,187,117,SSV Jandelsbrunn,16,fussball.de
0314CNDU2O000006VS5489BTVU7GTVLE-G,Bayern,Kreis Niederbayern Ost,9,Kreisklasse,KK 8 Pocking · Kreis Niederbayern Ost,14,43,166,125,DJK Jägerwirth,13,fussball.de
0316T2V34G000006VS5489BUVSBBVPEU-G,Bayern,Kreis Niederbayern West,9,Kreisklasse,KK 1 Kelheim · Kreis Niederbayern West,14,47,217,137,(SG) Ihrlerstein/Essing,16,fussball.de
0316T2V3CS000006VS5489BUVSBBVPEU-G,Bayern,Kreis Niederbayern West,9,Kreisklasse,KK 2 Landshut · Kreis Niederbayern West,14,42,156,121,SC Landshut-Berg,15,fussball.de
0316T2V3IK000005VS5489BUVSBBVPEU-G,Bayern,Kreis Niederbayern West,9,Kreisklasse,KK 3 Dingolfing · Kreis Niederbayern West,14,42,177,116,SV Großköllnbach,14,fussball.de
0316T2V3R8000006VS5489BUVSBBVPEU-G,Bayern,Kreis Niederbayern West,9,Kreisklasse,KK 9 Pfarrkirchen · Kreis Niederbayern West,14,43,197,121,SV Malgersdorf,15,fussball.de
0317T8B784000006VS5489BUVSBBVPEU-G,Bayern,Kreis Nürnberg/Frankenhöhe,9,Kreisklasse,KK-Gr 1 N/F · Kreis Nürnberg/Frankenhöhe,14,34,138,95,TV Mkt. Weiltingen,13,fussball.de
0317T8B7GC000000VS5489BUVSBBVPEU-G,Bayern,Kreis Nürnberg/Frankenhöhe,9,Kreisklasse,KK-Gr 2 N/F · Kreis Nürnberg/Frankenhöhe,14,33,131,93,TSC Neuendettelsau II,10,fussball.de
0317T8B7LC000002VS5489BUVSBBVPEU-G,Bayern,Kreis Nürnberg/Frankenhöhe,9,Kreisklasse,KK-Gr 3 N/F · Kreis Nürnberg/Frankenhöhe,14,32,136,90,SF Laubendorf,10,fussball.de
0317T8B8E400000UVS5489BUVSBBVPEU-G,Bayern,Kreis Nürnberg/Frankenhöhe,9,Kreisklasse,KK-Gr 4 N/F · Kreis Nürnberg/Frankenhöhe,14,36,157,103,ASC Boxdorf,15,fussball.de
030ULO1TVS00004AVS5489BUVVARDA0V-G,Bayern,Kreis Regensburg,9,Kreisklasse,Kreisklasse Rgbg Gruppe 1 · Kreis Regensburg,15,55,237,152,SV Wiesent,19,fussball.de
030ULO1VO000005AVS5489BUVVARDA0V-G,Bayern,Kreis Regensburg,9,Kreisklasse,Kreisklasse Rgbg Gruppe 2 · Kreis Regensburg,14,48,251,135,SG Schwabelweis/Nord,16,fussball.de
030ULO20VS00002NVS5489BUVVARDA0V-G,Bayern,Kreis Regensburg,9,Kreisklasse,Kreisklasse Rgbg Gruppe 3 · Kreis Regensburg,14,50,222,143,SG Freihausen/Batzhausen,19,fussball.de
03135BG1KC000007VS5489BTVU7GTVLE-G,Bayern,Kreis Rhön,9,Kreisklasse,Kreisklasse Rhön 1,14,40,162,112,SC Diebach,16,fussball.de
03135BG1OK000007VS5489BTVU7GTVLE-G,Bayern,Kreis Rhön,9,Kreisklasse,Kreisklasse Rhön 2,14,39,153,112,TSV Bad Königshofen,16,fussball.de
03135B0B08000008VS5489BTVU7GTVLE-G,Bayern,Kreis Schweinfurt,9,Kreisklasse,KK-Gr 1 SW · Kreis Schweinfurt,14,39,168,106,SV Sömmersdorf,14,fussball.de
03135B0B7K000008VS5489BTVU7GTVLE-G,Bayern,Kreis Schweinfurt,9,Kreisklasse,KK-Gr 2 SW · Kreis Schweinfurt,15,52,244,151,SG Heidenfeld/Hirschfeld e.V.,22,fussball.de
03135B0BCG000007VS5489BTVU7GTVLE-G,Bayern,Kreis Schweinfurt,9,Kreisklasse,KK-Gr 3 SW · Kreis Schweinfurt,15,48,216,138,VfR Hermannsberg-Breitbr.,21,fussball.de
03135BAHNC00005MVS5489BTVU7GTVLE-G,Bayern,Kreis Würzburg,9,Kreisklasse,KK-Gr 1 WÜ · Kreis Würzburg,15,49,180,138,ASV Rimpar 2,14,fussball.de
03135BAJDK00000PVS5489BTVU7GTVLE-G,Bayern,Kreis Würzburg,9,Kreisklasse,KK-Gr 2 WÜ · Kreis Würzburg,15,48,172,126,Dettelbach und Ortsteile,14,fussball.de
03135BAKKO00005OVS5489BTVU7GTVLE-G,Bayern,Kreis Würzburg,9,Kreisklasse,KK-Gr 3 WÜ · Kreis Würzburg,15,47,163,131,SV Trennfeld,14,fussball.de
030RC3EMFG000000VS5489BTVVR5L0PB-G,Bayern,Kreis Zugspitze,9,Kreisklasse,Kreisklasse Gruppe 1 · Kreis Zugspitze,14,16,52,45,SC Fürstenfeldbruck,9,fussball.de
030RC3ENO000001AVS5489BTVVR5L0PB-G,Bayern,Kreis Zugspitze,9,Kreisklasse,Kreisklasse Gruppe 2 · Kreis Zugspitze,14,18,65,49,(SG) SC Gaissach/SV Wackersb. I,7,fussball.de
030RC3EPD0000027VS5489BTVVR5L0PB-G,Bayern,Kreis Zugspitze,9,Kreisklasse,Kreisklasse Gruppe 3 · Kreis Zugspitze,14,20,91,57,(SG) SV Wielenbach/TSV Pähl I,7,fussball.de
030RC3EQRO00003KVS5489BTVVR5L0PB-G,Bayern,Kreis Zugspitze,9,Kreisklasse,Kreisklasse Gruppe 4 · Kreis Zugspitze,14,18,67,51,FC Penzing,9,fussball.de
0317AGQFO8000005VS5489BUVSBBVPEU-G,Berlin,Kreis Berlin,9,Kreisliga A,Herren Kreisliga A St.1 · Kreis Berlin,16,16,82,47,1. FC PV Nord,6,fussball.de
0317AGQG4K000005VS5489BUVSBBVPEU-G,Berlin,Kreis Berlin,9,Kreisliga A,Herren Kreisliga A St.2 · Kreis Berlin,15,14,66,41,Spandauer Kickers II,6,fussball.de
0317AGQG98000005VS5489BUVSBBVPEU-G,Berlin,Kreis Berlin,9,Kreisliga A,Herren Kreisliga A St.3 · Kreis Berlin,16,16,71,42,SSV Köpenick-Oberspree,6,fussball.de
0317AGQGE8000005VS5489BUVSBBVPEU-G,Berlin,Kreis Berlin,9,Kreisliga A,Herren Kreisliga A St.4 · Kreis Berlin,16,16,87,42,Berlin Lions FC,6,fussball.de
031A7VJFN800000IVS5489BUVV628VP4-G,Brandenburg,Kreis Dahme/Fläming,9,Kreisoberliga,Herren Dahme/Fläming Liga,16,15,95,41,SV Rangsdorf 28,6,fussball.de
0318V3HQSC000006VS5489BUVV628VP4-G,Brandenburg,Kreis Havelland,9,Kreisoberliga,Kreisoberliga · Kreis Havelland,16,8,39,24,SV Dallgow 47,3,fussball.de
031AJ0N5O8000008VS5489BUVV628VP4-G,Brandenburg,Kreis Niederlausitz,9,Kreisoberliga,Kreisoberliga Niederlausitz,16,8,36,23,SpG Briesen/Dissen I,3,fussball.de
03142N107G00000CVS5489BUVSBBVPEU-G,Brandenburg,Kreis Oberhavel/Barnim,9,Kreisoberliga,Kreisoberliga · Kreis Oberhavel/Barnim,16,8,29,21,SV Grün-Weiss Ahrensfelde II,3,fussball.de
0319MOBIO800000IVS5489BUVV628VP4-G,Brandenburg,Kreis Ostbrandenburg,9,Kreisoberliga,Ostbrandenburgliga,16,14,65,40,FC Neuenhagen 1913,6,fussball.de
0318TDHPOG00000HVS5489BUVV628VP4-G,Brandenburg,Kreis Prignitz/Ruppin,9,Kreisoberliga,Kreisoberliga · Kreis Prignitz/Ruppin,14,0,0,0,BSV Schwarz-Weiß Zaatzke,0,fussball.de
031DRH3RK0000004VS5489BUVUR5FS5A-G,Brandenburg,Kreis Südbrandenburg,9,Kreisoberliga,Südbrandenburgliga,14,6,31,18,ESV Lok Falkenberg,3,fussball.de
0316DJ5P8S000004VS5489BUVSBBVPEU-G,Brandenburg,Kreis Uckermark,9,Kreisoberliga,Uckermarkliga,10,0,0,0,FC Husaria Schwedt,0,fussball.de
031FMDB7T400000MVS5489BTVUS470OH-G,Bremen,Kreis Bremen-Stadt,9,2.Kreisliga (B),Kreisliga B1 - Winterrunde · Kreis Bremen-Stadt,13,11,70,33,FC Roland Bremen 2011 e.V.,6,fussball.de
031FMEC720000005VS5489BTVUS470OH-G,Bremen,Kreis Bremen-Stadt,9,2.Kreisliga (B),Kreisliga B2 - Winterrunde · Kreis Bremen-Stadt,13,11,66,32,Bremen United II,6,fussball.de
031FMETBPO000005VS5489BTVUS470OH-G,Bremen,Kreis Bremen-Stadt,9,2.Kreisliga (B),Kreisliga B3 - Winterrunde · Kreis Bremen-Stadt,13,8,45,24,BSC Hastedt II,6,fussball.de
031FMEV8C0000004VS5489BTVUS470OH-G,Bremen,Kreis Bremen-Stadt,9,2.Kreisliga (B),Kreisliga B4 - Winterrunde · Kreis Bremen-Stadt,13,12,93,35,AFC Bremen,6,fussball.de
0318JU05VC00000DVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 01 · Kreisebene Hamburg,15,24,121,68,SVNA 3.Hr.,9,fussball.de
0318JU065S00000EVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 02 · Kreisebene Hamburg,15,19,129,56,Tonndorf-Lohe 1.Hr.,9,fussball.de
0318JU06C800000EVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 03 · Kreisebene Hamburg,12,13,79,36,Lorbeer 2.Hr.,9,fussball.de
0318JU06IS00000DVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 04 · Kreisebene Hamburg,16,25,210,72,Wandsetal 2.Hr.,9,fussball.de
0318JU06P800000EVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 05 · Kreisebene Hamburg,15,21,164,61,tus BERNE 2.Hr.,9,fussball.de
0318JU06VK00000EVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 06 · Kreisebene Hamburg,16,27,158,79,Alstertal-Langenhorn 3.Hr.,12,fussball.de
0318JU076400000DVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 07 · Kreisebene Hamburg,14,16,131,47,DUWO 08 1.Hr.,9,fussball.de
0318JU07C8000003VS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 08 · Kreisebene Hamburg,14,17,103,48,Tangstedt 1.Hr.,9,fussball.de
0318JU07IO000000VS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 09 · Kreisebene Hamburg,14,17,124,50,Blau-Weiß 96 2.Hr.,9,fussball.de
0318JU07PO00000AVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 10 · Kreisebene Hamburg,16,25,172,67,HFC Falke 2.Hr.,9,fussball.de
0318JU07VS00000CVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 11 · Kreisebene Hamburg,14,16,106,48,Lurup 2.Hr.,9,fussball.de
0318JU086400000EVS5489BTVSK8S3O6-G,Hamburg,Kreisebene Hamburg,9,Kreisklasse,KK 12 · Kreisebene Hamburg,13,17,103,47,Buchholz 2.Hr.,9,fussball.de
031BH1N8PO000009VS5489BUVUR5FS5A-G,Hessen,Kreis Alsfeld,9,Kreisliga A,KLA Alsfeld/Gießen,16,47,203,134,FSG Kirtorf/Antrifttal,15,fussball.de
031B3JKJJC00000BVS5489BTVSK8S3O6-G,Hessen,Kreis Bergstraße,9,Kreisliga A,KLA Bergstraße,16,38,189,112,TG Jahn Trösel,15,fussball.de
031B615NJG000000VS5489BTVSK8S3O6-G,Hessen,Kreis Biedenkopf,9,Kreisliga A,KLA Biedenkopf,15,34,162,97,SG Mornsh/Erdh/Frohnh,12,fussball.de
0318JI1TLS000000VS5489BUVV628VP4-G,Hessen,Kreis Büdingen,9,Kreisliga A,KLA Büdingen,15,33,139,95,SG Ober-Lais/Lissberg,12,fussball.de
03198VGLQ000000AVS5489BTVSK8S3O6-G,Hessen,Kreis Darmstadt,9,Kreisliga A,KLA Darmstadt,13,16,82,47,SV Traisa,9,fussball.de
031APLI15000000BVS5489BTVSK8S3O6-G,Hessen,Kreis Dieburg,9,Kreisliga A,KLA Dieburg,16,41,180,115,SV 1958 Sickenhofen,15,fussball.de
031BGH3Q54000009VS5489BUVUR5FS5A-G,Hessen,Kreis Dillenburg,9,Kreisliga A,KLA Dillenburg,14,33,171,93,SG Dietzhölztal,15,fussball.de
031AHPQLES000008VS5489BTVSK8S3O6-G,Hessen,Kreis Frankenberg,9,Kreisliga A,KLA Frankenberg,15,36,180,104,SG Rosenthal/Roda,12,fussball.de
031BOO2DF800000BVS5489BUVUR5FS5A-G,Hessen,Kreis Frankfurt,9,Kreisliga A,KLA Frankfurt Gr.1,16,35,222,101,SC Riedberg,15,fussball.de
031BOO2DN800000DVS5489BUVUR5FS5A-G,Hessen,Kreis Frankfurt,9,Kreisliga A,KLA Frankfurt Gr.2,17,39,178,113,FC Gudesding Frankfurt II,12,fussball.de
031AG60RD400000CVS5489BTVSK8S3O6-G,Hessen,Kreis Friedberg,9,Kreisliga A,KLA Friedberg,16,42,193,122,SKG AVW Friedberg,15,fussball.de
031BPQCN74000009VS5489BUVUR5FS5A-G,Hessen,Kreis Fulda,9,Kreisliga A,KLA Ost · Kreis Fulda,15,44,204,124,TSV Weyhers/Ebersberg,17,fussball.de
031BPQCN0K00000AVS5489BUVUR5FS5A-G,Hessen,Kreis Fulda,9,Kreisliga A,KLA West · Kreis Fulda,14,43,149,115,SG Büchenberg/Uttrichshausen,21,fussball.de
031B5PK3G0000008VS5489BTVSK8S3O6-G,Hessen,Kreis Gelnhausen,9,Kreisliga A,KLA Gelnhausen,17,55,271,156,TSV 07 Höchst II,18,fussball.de
031CPRAMBG00000BVS5489BUVUR5FS5A-G,Hessen,Kreis Gießen,9,Kreisliga A,KLA Gießen,16,40,210,113,FSV Fernwald II,13,fussball.de
0319749DBC000009VS5489BUVV628VP4-G,Hessen,Kreis Groß-Gerau,9,Kreisliga A,KLA Groß-Gerau,15,29,151,85,SSV Raunheim,15,fussball.de
031B4FFFGG00000BVS5489BTVSK8S3O6-G,Hessen,Kreis Hanau,9,Kreisliga A,KLA Hanau,17,47,252,132,SG Marköbel,13,fussball.de
031BESEBPC000008VS5489BTVUS470OH-G,Hessen,Kreis Hersfeld-Rotenburg,9,Kreisliga A,KLA Nord · Kreis Hersfeld-Rotenburg,15,46,180,132,SG Kuppenrhön,16,fussball.de
031F9HLQL800000EVS5489BTVUS470OH-G,Hessen,Kreis Hochtaunus,9,Kreisliga A,KLA Hochtaunus,17,40,240,112,FSV Steinbach,12,fussball.de
0318JU9OQ0000008VS5489BUVV628VP4-G,Hessen,Kreis Hofgeismar-Wolfhagen,9,Kreisliga A,KLA Hofgeism-Wolfh · Kreis Hofgeismar-Wolfhagen,14,36,142,95,SG Elbetal,13,fussball.de
0317AIBS2C000009VS5489BUVSBBVPEU-G,Hessen,Kreis Kassel,9,Kreisliga A,KLA Kassel Gr.1,12,25,133,73,SG Escherode/Uschlag,13,fussball.de
0317AIBSAS00000AVS5489BUVSBBVPEU-G,Hessen,Kreis Kassel,9,Kreisliga A,KLA Kassel Gr.2,11,22,101,62,SBV 07 Kassel,12,fussball.de
031DEG7J8K000000VS5489BTVUS470OH-G,Hessen,Kreis Lauterbach-Hünfeld,9,Kreisliga A,KLA Mitte · Kreis Lauterbach-Hünfeld,15,47,194,136,SG Haselbach,21,fussball.de
03196OCGJC00000CVS5489BUVV628VP4-G,Hessen,Kreis Limburg-Weilburg,9,Kreisliga A,KLA Limb-Weilb · Kreis Limburg-Weilburg,17,52,234,150,TUS Waldernbach,15,fussball.de
0319B1IJR8000000VS5489BUVV628VP4-G,Hessen,Kreis Maintaunus,9,Kreisliga A,KLA Maintaunus,16,41,216,115,FC TÜRK Kelsterbach II,15,fussball.de
031AQSAPK8000002VS5489BTVSK8S3O6-G,Hessen,Kreis Marburg,9,Kreisliga A,KLA Marburg,17,48,202,133,SV Beltershausen,17,fussball.de
031AQ1034G00000AVS5489BTVSK8S3O6-G,Hessen,Kreis Odenwald,9,Kreisliga A,KLA Odenwald,17,51,245,146,FSV Erbach,18,fussball.de
031DCQ8JV000000AVS5489BTVUS470OH-G,Hessen,Kreis Offenbach,9,Kreisliga A,KLA Offenbach Gr.1,16,40,256,113,TSG Neu-Isenburg,13,fussball.de
031DCQ8K5O00000BVS5489BTVUS470OH-G,Hessen,Kreis Offenbach,9,Kreisliga A,KLA Offenbach Gr.2,15,34,171,98,FC Germ. Bieber II,12,fussball.de
031BDUAJM800000AVS5489BTVUS470OH-G,Hessen,Kreis Rheingau-Taunus,9,Kreisliga A,KLA Rheingau-Taunus,15,33,174,95,FSV Winkel,13,fussball.de
031AH69VDS00000AVS5489BTVSK8S3O6-G,Hessen,Kreis Schlüchtern,9,Kreisliga A,KLA Süd · Kreis Schlüchtern,16,58,253,164,SG Distelrasen,21,fussball.de
