rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
756,Sportverein Hamborn 1890 Handball E.V.,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
757,Stahl Rietschen II,HR Ostsachsen,HR Ostsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Ostsachsen,13108,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
758,Stolberger SV,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
759,TB Wülfrath III,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
760,TBSV Neugersdorf,HR Ostsachsen,HR Ostsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Ostsachsen,13108,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
761,TD Lank 2. Herren,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
762,TG Voerde 1. Herren,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,14339,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
763,TG Waldsee 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
764,TH Eilbeck IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
765,THB Hamburg 03,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
766,TS Evingsen,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,14339,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
767,TSC Wellingsbüttel II,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
768,TSV 1862 Radeburg,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
769,TSV Aufderhöhe II,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
770,TSV Bocholt,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,13063,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
771,TSV Dresden-Bühlau,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
772,TSV EINHEIT CLAUßNITZ 1864 e.V.,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
773,TSV Ellerbek IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),13431,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
774,TSV Mildstedt II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
775,TSV PLÖN,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
776,TSV Travemünde,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
777,TUS 05 DAUN II,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,14543,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
778,TUS Bommern 2,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,14338,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
779,TUS Esingen II,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),13431,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
780,TUS Ferndorf 3,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,14339,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
781,TUS Finkenwerder,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),13436,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
782,TUS Königsdorf II,HK Köln-Rheinberg,HK Köln-Rheinberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Köln-Rheinberg,12887,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
783,TUS Lintfort II,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,13063,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
784,TV 01 Wattenscheid,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,14338,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
785,TV Arnsberg H1,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
786,TV Bad Ems II,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,13124,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
787,TV Bassenheim,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,13124,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
788,TV Beckum 1892 E.V. II,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12662,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
789,TV Billstedt,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),13436,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
790,TV Birkesdorf II,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
791,TV Bitburg,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,14543,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
792,TV Brechten II,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
793,TV Emsdetten 1898 II,Handballkreis Münsterland,Handballkreis Münsterland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksliga Münsterland Männer,13224,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
794,TV Friesen Telgte,Handballkreis Münsterland,Handballkreis Münsterland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksliga Münsterland Männer,13224,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
795,TV Gladbeck,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,14338,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
796,TV Hermeskeil,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,14543,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
797,TV Issum II,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,13063,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
798,TV JAHN Köln-Wahn II,HK Köln-Rheinberg,HK Köln-Rheinberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Köln-Rheinberg,12887,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
799,TV Kapellen 2M,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,13063,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
800,TV Lössel,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,14339,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
801,TV Neheim H1,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
802,TV Palmersheim II,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,12899,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
803,TV Roetgen,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
804,TV Vorst II,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
805,TV Wahlscheid,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,12955,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
806,TV Werne 03 E.V.,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12662,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
807,TV Wickede H1,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
808,TV Witzhelden,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
809,TV Witzhelden II,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
810,TVE BAD Münstereifel,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,12899,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
811,TuS Borussia Höchsten,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
812,TuS Niederpleis,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,12899,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
813,TuS Niederpleis 2,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,12899,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
814,Turnverein Biefang,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
815,Turnverein Biefang II,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
816,USV TU Dresden,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
817,VFB Torgau,HR Leipzig,HR Leipzig,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Leipzig,13114,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
818,VFL Langerwehe,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
819,VFL Waldheim 54,HR Leipzig,HR Leipzig,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Leipzig,13114,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
820,VT Kempen,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
821,VTV Freier Grund,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,14339,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
822,VfB Eilenburg,HR Leipzig,HR Leipzig,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Leipzig,13114,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
823,VfB Homberg,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
824,VfL Bad Schwartau III,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
825,VfL Bardenberg 2,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
826,VfL Rheinhausen,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,14,0,0,0,0,0,0,0,0,0.0,,fussball.de
827,Vohwinkeler STV II,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
