rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,VFL Fredenbeck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,1,1,1,0,0,34,22,12,2,2.0,,fussball.de
2,HC Empor Rostock,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,1,1,1,0,0,42,32,10,2,2.0,,fussball.de
3,TuS Vinnhorst,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,2,1,1,0,0,38,28,10,2,2.0,,fussball.de
4,Saase3 Leutershausen Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,1,1,1,0,0,36,26,10,2,2.0,,fussball.de
5,Rhein-Neckar Löwen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,2,1,1,0,0,35,26,9,2,2.0,,fussball.de
6,HSG Krefeld Niederrhein,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,2,1,1,0,0,41,33,8,2,2.0,,fussball.de
7,VFL Pfullingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,3,1,1,0,0,33,25,8,2,2.0,,fussball.de
8,SV 04 Plauen-Oberlosa,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,2,1,1,0,0,38,33,5,2,2.0,,fussball.de
9,TUS Spenge,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,3,1,1,0,0,35,30,5,2,2.0,,fussball.de
10,DHK Flensborg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,3,1,1,0,0,30,25,5,2,2.0,,fussball.de
11,HLZ Friesenheim/Hochdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,3,1,1,0,0,28,23,5,2,2.0,,fussball.de
12,SV Salamander Kornwestheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,4,1,1,0,0,40,36,4,2,2.0,,fussball.de
13,MT Melsungen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,4,1,1,0,0,35,31,4,2,2.0,,fussball.de
14,HG Saarlouis,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,4,1,1,0,0,32,28,4,2,2.0,,fussball.de
15,TV Kirchzell,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,5,1,1,0,0,34,31,3,2,2.0,,fussball.de
16,TSV Altenholz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,4,1,1,0,0,32,29,3,2,2.0,,fussball.de
17,ESG Gensungen/Felsberg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,5,1,1,0,0,31,28,3,2,2.0,,fussball.de
18,TSB Heilbronn-Horkheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,5,1,1,0,0,38,36,2,2,2.0,,fussball.de
19,Team HandbALL Lippe II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,6,1,1,0,0,35,33,2,2,2.0,,fussball.de
20,EHV AUE,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,5,1,1,0,0,32,30,2,2,2.0,,fussball.de
21,TSV Burgdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,6,1,1,0,0,31,29,2,2,2.0,,fussball.de
22,TSG A-H Bielefeld,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,7,1,1,0,0,28,26,2,2,2.0,,fussball.de
23,TSV Anderten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,8,1,1,0,0,35,34,1,2,2.0,,fussball.de
24,TSV NEUHAUSEN/Filder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,6,1,1,0,0,34,33,1,2,2.0,,fussball.de
25,MTV Braunschweig,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,7,1,1,0,0,33,32,1,2,2.0,,fussball.de
26,HC Oppenweiler/Backnang,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,7,1,1,0,0,32,31,1,2,2.0,,fussball.de
27,FÜCHSE BERLIN Reinickendorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,8,1,1,0,0,25,24,1,2,2.0,,fussball.de
28,SG Pforzheim/Eutingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,1,2,1,1,0,43,29,14,3,1.5,,fussball.de
29,HSG Rodgau Nieder-Roden,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,6,1,0,1,0,30,30,0,1,1.0,,fussball.de
30,Longericher SC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,7,1,0,1,0,30,30,0,1,1.0,,fussball.de
31,TSG Münster,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,8,1,0,1,0,28,28,0,1,1.0,,fussball.de
32,TSV Bayer Dormagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,9,1,0,1,0,28,28,0,1,1.0,,fussball.de
33,HSG Albstadt,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,8,2,0,1,1,29,43,-14,1,0.5,,fussball.de
34,HSG Hanau,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
35,HSG Konstanz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
36,TV Gelnhausen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
37,Wölfe Würzburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
38,HC Eintracht Hildesheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,9,1,0,0,1,34,35,-1,0,0.0,,fussball.de
39,HC Erlangen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,11,1,0,0,1,33,34,-1,0,0.0,,fussball.de
40,Handball Club Hamburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,9,1,0,0,1,32,33,-1,0,0.0,,fussball.de
41,HBW Balingen-Weilstetten II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,12,1,0,0,1,31,32,-1,0,0.0,,fussball.de
42,HSG Eider Harde,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,10,1,0,0,1,24,25,-1,0,0.0,,fussball.de
43,TV 1861 Erlangen-Bruck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,13,1,0,0,1,36,38,-2,0,0.0,,fussball.de
44,Spfr. Loxten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,10,1,0,0,1,33,35,-2,0,0.0,,fussball.de
45,SC Magdeburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,11,1,0,0,1,30,32,-2,0,0.0,,fussball.de
46,1. Männer; ORANIENBURGER HC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,12,1,0,0,1,29,31,-2,0,0.0,,fussball.de
47,Wilhelmshavener HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,11,1,0,0,1,26,28,-2,0,0.0,,fussball.de
48,TUS 82 Opladen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,12,1,0,0,1,31,34,-3,0,0.0,,fussball.de
49,Stralsunder HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,13,1,0,0,1,29,32,-3,0,0.0,,fussball.de
50,MTV Grossenheidorn,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,12,1,0,0,1,28,31,-3,0,0.0,,fussball.de
51,SG Regensburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,14,1,0,0,1,36,40,-4,0,0.0,,fussball.de
52,HSG Varel,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,13,1,0,0,1,31,35,-4,0,0.0,,fussball.de
53,Bergische Panther,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,13,1,0,0,1,28,32,-4,0,0.0,,fussball.de
54,HV Grün Weiß Werder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,14,1,0,0,1,33,38,-5,0,0.0,,fussball.de
55,VFL Eintracht Hagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,14,1,0,0,1,30,35,-5,0,0.0,,fussball.de
56,HG Hamburg-Barmbek,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,15,1,0,0,1,25,30,-5,0,0.0,,fussball.de
57,HSG Dutenhofen Münchholzhausen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,14,1,0,0,1,23,28,-5,0,0.0,,fussball.de
58,Interaktiv.Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,15,1,0,0,1,33,41,-8,0,0.0,,fussball.de
59,TSB Schwäbisch Gmünd,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,15,1,0,0,1,25,33,-8,0,0.0,,fussball.de
60,TV Bittenfeld II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,16,1,0,0,1,26,35,-9,0,0.0,,fussball.de
61,NHV Concordia Delitzsch,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,16,1,0,0,1,32,42,-10,0,0.0,,fussball.de
62,Ahlener SG,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,15,1,0,0,1,28,38,-10,0,0.0,,fussball.de
63,HV Vallendar,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,16,1,0,0,1,26,36,-10,0,0.0,,fussball.de
64,OHV Aurich,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,16,1,0,0,1,22,34,-12,0,0.0,,fussball.de
65,TSV Ellerbek,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,1,1,1,0,0,38,17,21,2,2.0,,fussball.de
66,MTV Lübeck,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,2,1,1,0,0,32,20,12,2,2.0,,fussball.de
67,TV Homburg 1,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,1,1,1,0,0,36,26,10,2,2.0,,fussball.de
68,HSG Schülp/Westerrönfeld/Rendsburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,3,1,1,0,0,30,22,8,2,2.0,,fussball.de
69,TG Osthofen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,2,1,1,0,0,33,26,7,2,2.0,,fussball.de
70,HSG Holsteinische Schweiz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,4,1,1,0,0,33,30,3,2,2.0,,fussball.de
71,SF Budenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,3,1,1,0,0,29,26,3,2,2.0,,fussball.de
72,Südpfalz Tiger,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,4,1,1,0,0,28,26,2,2,2.0,,fussball.de
73,MSG HF Illtal,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,5,1,0,1,0,27,27,0,1,1.0,,fussball.de
74,SG Zweibrücken,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,6,1,0,1,0,27,27,0,1,1.0,,fussball.de
75,Allgemeiner Sportverein Hamm-Westfalen e.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
76,BTB Aachen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
77,Borussia Mönchengladbach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
78,CVJM Rödinghausen E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
79,DJK Unitas HAAN E.V.,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
80,HC Gelpe/Strombach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
81,HC Weiden 2018,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
82,HC Westfalia Herne E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
83,HSG Kastellaun/Simmern,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
84,HSG Ostsee Neustadt/Grömitz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
85,HSG Refrath/Hand,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
86,HSG Rhein-Nahe Bingen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
87,HSG Siebengebirge-Thomasberg,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
88,HSG am Hallo I Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
89,HT Norderstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
90,HTV Hemer,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
91,LIT 1912 Nordhemmern-Nettelstedt-Mindenerwald-Holzhausen II II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
92,OSC Rheinhausen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
93,SG Flensburg-Handewitt II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
94,SG Hamburg-Nord,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
95,SG Langenfeld,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
96,SG Menden Sauerland Wölfe E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
97,SGSH Dragons E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
98,Soester TV VON 1862 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
99,THW KIEL II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
100,TSG Altenhagen-Heepen II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
101,TSG Harsewinkel,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
102,TSV Bonn rrh. 1. Männer,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
103,TSV GWD Minden E.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
104,TSV Hürup,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
105,TUS KL-Dansenberg,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
106,TUS Lintorf 1m,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
107,TUS Volmetal 1887 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
108,TV Aldekerk,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
109,TV Korschenbroich 1. Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,14,0,0,0,0,0,0,0,0,0.0,,fussball.de
110,TV Nieder-Olm,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
111,TuS Bommern 1. Herren Regionalliga,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
112,VfL Gladbeck 1921 e.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,14,0,0,0,0,0,0,0,0,0.0,,fussball.de
113,VTV Mundenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,11,1,0,0,1,26,28,-2,0,0.0,,fussball.de
114,SG Bordesholm/Brügge,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,11,1,0,0,1,30,33,-3,0,0.0,,fussball.de
115,TSG Haßloch,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,12,1,0,0,1,26,29,-3,0,0.0,,fussball.de
116,Handball Mülheim-Urmitz,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,13,1,0,0,1,26,33,-7,0,0.0,,fussball.de
117,TSV Weddingstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,12,1,0,0,1,22,30,-8,0,0.0,,fussball.de
118,HSG Dudenhofen/Schifferstadt,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,14,1,0,0,1,26,36,-10,0,0.0,,fussball.de
119,AMTV Hamburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,13,1,0,0,1,20,32,-12,0,0.0,,fussball.de
120,Ahrensburger TSV,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,14,1,0,0,1,17,38,-21,0,0.0,,fussball.de
121,HLZ Friesenheim/Hochdorf 3,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,M-OL,12401,1,1,1,0,0,38,23,15,2,2.0,,fussball.de
122,HSG Eckbachtal,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,M-OL,12401,2,1,1,0,0,23,15,8,2,2.0,,fussball.de
123,TSV Hürup II,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,15097,1,1,1,0,0,32,25,7,2,2.0,,fussball.de
124,HC Treia/Jübek,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,15097,2,1,1,0,0,37,31,6,2,2.0,,fussball.de
125,TSV Altenholz II,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,15097,3,1,1,0,0,34,30,4,2,2.0,,fussball.de
126,SG Saulheim,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,M-OL,12401,3,1,1,0,0,32,28,4,2,2.0,,fussball.de
127,TSV Kronshagen,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,15097,4,1,1,0,0,27,24,3,2,2.0,,fussball.de
128,1. HC Quickborn,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Männer (100),12373,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
129,1.Fc KÖLN,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,12904,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
130,AMTV Hamburg Ü40,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Senioren (300),17158,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
131,ASV Senden E.V.,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 1,12646,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
132,ASV Süchteln 1M,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 3,12906,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
133,Adler Königshof 1M,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 3,12906,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
134,Ahlener SG 93 e.V. II,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 2,12647,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
135,Ahrensburger TSV Ü40,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Senioren (300),17158,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
136,BSV Limbach-O.,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS MÄNNER,12542,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
137,Bergische Panther II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 2,12905,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
138,Bergischer HC,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 2,12905,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
139,Bredstedter TSV,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,15097,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
140,DJK Marpingen,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
141,DJK/MJC Trier,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Männer · Handballverband Rheinland,12820,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
142,EHV AUE II,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS MÄNNER,12542,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
143,FC St. Pauli,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Männer (100),12373,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
144,Falken (m),Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
145,HBD Löwen Oberberg,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,12904,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
146,HC Dillingen-Diefflen,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
147,HC Gelpe/Strombach II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,12904,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
148,HC Glauchau/Meerane,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS MÄNNER,12542,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
149,HC Koblenz,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Männer · Handballverband Rheinland,12820,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
150,HC St. Ingbert- Hassel,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
151,HC Weiden 2018 II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,12904,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
152,HCE Bergkamen 1.H,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 2,12647,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
153,HF Illtal 2,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
154,HF Untere SAAR,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
155,HF Untere Saar kann raus,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
156,HG Hamburg-Barmbek II,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Männer (100),12373,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
157,HG Hamburg-Barmbek Ü40,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Senioren (300),17158,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
158,HG Ltg/Htv Remscheid,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 2,12905,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
159,HG Saarlouis 2,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,14368,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
